event_id,user_id,item_id,event_type,platform,duration_sec,timestamp,search_query
e_ba8f8a68,u001,item_017,watch,netflix,713,2024-02-05T01:00:00+00:00,
e_5e7de046,u001,item_017,watch,google,1159,2024-01-21T23:28:00+00:00,
e_bf0f4730,u001,item_022,like,youtube,0,2024-01-15T02:56:00+00:00,
e_390eb3f1,u001,item_022,watch,youtube,333,2024-02-17T18:35:00+00:00,
e_485bb6ac,u001,item_036,like,youtube,0,2024-02-09T11:57:00+00:00,
e_d618f054,u001,item_004,watch,google,1395,2024-01-27T21:15:00+00:00,
e_ae1c1c9c,u001,item_019,watch,apple_music,346,2024-02-22T19:47:00+00:00,
e_7b9c68cb,u001,item_040,listen,spotify,397,2024-01-23T13:01:00+00:00,
e_25fca652,u001,item_032,search,netflix,0,2024-03-26T23:51:00+00:00,data science
e_255add6d,u001,item_036,listen,youtube,993,2024-02-18T01:54:00+00:00,
e_e93ecae9,u001,item_010,listen,netflix,1658,2024-02-14T09:52:00+00:00,
e_dc967428,u001,item_010,listen,youtube,702,2024-03-25T06:25:00+00:00,
e_d99eaa06,u001,item_040,listen,youtube,1073,2024-02-05T11:41:00+00:00,
e_5ff3bf93,u001,item_017,like,apple_music,0,2024-02-12T00:07:00+00:00,
e_bc75481f,u001,item_036,listen,apple_music,1251,2024-02-03T01:06:00+00:00,
e_7bec4e91,u001,item_019,like,google,0,2024-02-25T19:32:00+00:00,
e_7144dea2,u001,item_039,watch,apple_music,1481,2024-01-25T08:02:00+00:00,
e_59c22a3f,u001,item_007,like,apple_music,0,2024-03-09T21:46:00+00:00,
e_5134300d,u001,item_019,listen,netflix,706,2024-01-09T21:58:00+00:00,
e_51fd0832,u001,item_017,search,youtube,0,2024-02-08T16:19:00+00:00,gaming highlights
e_fd11db09,u002,item_019,watch,google,1217,2024-01-27T13:50:00+00:00,
e_cd2a8ed9,u002,item_013,search,netflix,0,2024-02-26T21:13:00+00:00,machine learning
e_9eb6845b,u002,item_020,skip,spotify,0,2024-03-25T02:18:00+00:00,
e_5687ad28,u002,item_021,search,spotify,0,2024-03-27T09:14:00+00:00,data science
e_890acfa8,u002,item_027,watch,youtube,1770,2024-02-01T15:39:00+00:00,
e_f906e4ff,u002,item_013,watch,netflix,1501,2024-03-21T18:12:00+00:00,
e_82b0fa28,u002,item_013,like,netflix,0,2024-02-01T04:41:00+00:00,
e_192b4b27,u002,item_047,watch,youtube,1676,2024-02-24T07:11:00+00:00,
e_7e3b34bf,u002,item_027,skip,apple_music,0,2024-02-01T03:29:00+00:00,
e_4432a9b2,u002,item_020,watch,netflix,1249,2024-03-26T16:35:00+00:00,
e_139951b7,u002,item_020,search,netflix,0,2024-03-19T23:57:00+00:00,machine learning
e_b1c8ca83,u002,item_048,like,apple_music,0,2024-02-27T05:47:00+00:00,
e_2c9da37e,u002,item_013,skip,google,0,2024-02-01T20:17:00+00:00,
e_3d23b65e,u002,item_012,skip,spotify,0,2024-02-05T14:04:00+00:00,
e_f9a6cd8e,u002,item_045,listen,google,1136,2024-02-12T10:57:00+00:00,
e_2764c669,u002,item_026,watch,spotify,342,2024-01-30T12:44:00+00:00,
e_8ee05f1e,u002,item_021,listen,netflix,984,2024-02-22T10:34:00+00:00,
e_4ddfd816,u002,item_027,like,spotify,0,2024-02-23T12:57:00+00:00,
e_0fb1e8ad,u002,item_048,watch,apple_music,750,2024-02-18T15:00:00+00:00,
e_bf670fb8,u002,item_020,listen,netflix,1534,2024-02-23T17:47:00+00:00,
e_381cb3d1,u003,item_009,watch,netflix,85,2024-03-16T18:42:00+00:00,
e_0159407e,u003,item_022,watch,netflix,132,2024-01-18T14:11:00+00:00,
e_1658d246,u003,item_028,listen,google,721,2024-01-28T14:20:00+00:00,
e_1e65aa20,u003,item_048,like,netflix,0,2024-02-02T02:30:00+00:00,
e_0287a36c,u003,item_026,watch,apple_music,1361,2024-01-07T11:14:00+00:00,
e_e84f1a17,u003,item_011,watch,youtube,1748,2024-01-04T07:12:00+00:00,
e_252a3f4a,u003,item_025,watch,spotify,1401,2024-01-31T04:30:00+00:00,
e_e3d1755d,u003,item_025,watch,spotify,1600,2024-02-29T22:16:00+00:00,
e_6a214cdd,u003,item_015,search,apple_music,0,2024-03-18T23:45:00+00:00,lo-fi music
e_5b82bfa7,u003,item_048,watch,youtube,668,2024-03-15T00:59:00+00:00,
e_c1b83954,u003,item_028,like,spotify,0,2024-01-10T18:44:00+00:00,
e_1f870bfd,u003,item_039,listen,google,277,2024-03-28T19:51:00+00:00,
e_ff058c2f,u003,item_018,watch,apple_music,171,2024-02-24T21:23:00+00:00,
e_eb2e7cab,u003,item_035,search,netflix,0,2024-03-03T03:27:00+00:00,news today
e_3f1523f6,u003,item_026,skip,spotify,0,2024-02-25T05:46:00+00:00,
e_a983ed9d,u003,item_025,listen,apple_music,1721,2024-03-02T14:27:00+00:00,
e_f7074638,u003,item_018,listen,spotify,953,2024-01-12T08:56:00+00:00,
e_47b8aac9,u003,item_011,listen,netflix,806,2024-03-13T19:42:00+00:00,
e_b8a5d293,u003,item_035,search,netflix,0,2024-02-11T05:31:00+00:00,data science
e_4c61e9ca,u003,item_011,search,google,0,2024-02-13T08:56:00+00:00,jazz playlist
e_a9339bdb,u004,item_018,watch,google,528,2024-01-29T12:44:00+00:00,
e_7fd42957,u004,item_048,listen,apple_music,1117,2024-02-17T15:35:00+00:00,
e_1466aa77,u004,item_006,search,apple_music,0,2024-02-12T11:44:00+00:00,travel vlog
e_977a4009,u004,item_034,listen,google,424,2024-01-30T03:46:00+00:00,
e_93a1eb3a,u004,item_018,search,apple_music,0,2024-03-29T05:12:00+00:00,data science
e_a7f9f463,u004,item_034,skip,apple_music,0,2024-03-08T19:18:00+00:00,
e_e21a4eac,u004,item_041,watch,spotify,397,2024-02-07T07:23:00+00:00,
e_cd86c6f6,u004,item_045,listen,apple_music,141,2024-01-17T08:02:00+00:00,
e_db9b1d14,u004,item_043,listen,spotify,55,2024-03-22T15:06:00+00:00,
e_8c2920db,u004,item_016,listen,netflix,135,2024-02-26T10:11:00+00:00,
e_c1d987e5,u004,item_041,listen,netflix,1037,2024-01-15T02:25:00+00:00,
e_04673f82,u004,item_032,watch,youtube,1182,2024-01-20T04:51:00+00:00,
e_9bac10ea,u004,item_018,listen,spotify,882,2024-01-16T17:48:00+00:00,
e_4b14c3f0,u004,item_031,listen,apple_music,936,2024-02-18T14:58:00+00:00,
e_b0a824d1,u004,item_041,listen,apple_music,1301,2024-02-24T09:36:00+00:00,
e_d0b6382c,u004,item_032,watch,youtube,571,2024-01-27T20:13:00+00:00,
e_d82ee820,u004,item_036,watch,spotify,350,2024-01-23T17:04:00+00:00,
e_32241f98,u004,item_006,watch,netflix,626,2024-03-29T19:30:00+00:00,
e_ceab7209,u004,item_001,watch,google,1790,2024-03-31T09:44:00+00:00,
e_02e09fa6,u004,item_018,skip,spotify,0,2024-02-03T20:37:00+00:00,
e_ef2451e0,u005,item_013,skip,netflix,0,2024-03-29T09:44:00+00:00,
e_d9cb50d8,u005,item_035,like,apple_music,0,2024-03-10T15:28:00+00:00,
e_184b5057,u005,item_050,watch,youtube,1266,2024-02-25T23:20:00+00:00,
e_da0ff5d0,u005,item_043,listen,youtube,1792,2024-01-30T21:53:00+00:00,
e_92d66fc8,u005,item_011,watch,google,1578,2024-03-14T01:48:00+00:00,
e_e963ca7f,u005,item_010,watch,apple_music,599,2024-03-24T14:58:00+00:00,
e_03a43bfb,u005,item_050,watch,netflix,992,2024-03-22T15:05:00+00:00,
e_03c25eb2,u005,item_042,search,google,0,2024-02-11T21:06:00+00:00,best thriller
e_c99edcba,u005,item_042,search,netflix,0,2024-02-06T21:25:00+00:00,machine learning
e_f2aa23dd,u005,item_010,watch,youtube,267,2024-02-10T08:20:00+00:00,
e_1e4f989b,u005,item_020,like,apple_music,0,2024-01-01T21:55:00+00:00,
e_689eae3f,u005,item_042,skip,youtube,0,2024-01-25T16:23:00+00:00,
e_0e428588,u005,item_005,skip,netflix,0,2024-01-07T06:17:00+00:00,
e_e34fdc77,u005,item_019,watch,google,278,2024-02-26T22:31:00+00:00,
e_69ff41d1,u005,item_005,watch,apple_music,666,2024-01-31T22:10:00+00:00,
e_84bebebb,u005,item_018,watch,netflix,262,2024-01-12T07:53:00+00:00,
e_ede616b7,u005,item_013,skip,spotify,0,2024-03-04T22:18:00+00:00,
e_409cbe53,u005,item_042,listen,netflix,1158,2024-03-01T07:29:00+00:00,
e_b1126a0b,u005,item_042,watch,spotify,309,2024-03-17T16:47:00+00:00,
e_dea5c354,u005,item_035,watch,netflix,1710,2024-02-13T16:17:00+00:00,
e_cf9814ce,u006,item_032,like,google,0,2024-01-25T22:15:00+00:00,
e_874f76e7,u006,item_020,like,netflix,0,2024-01-06T10:47:00+00:00,
e_16e840c3,u006,item_031,skip,netflix,0,2024-02-19T21:50:00+00:00,
e_69a8a23e,u006,item_032,watch,youtube,709,2024-01-17T16:37:00+00:00,
e_2eca6539,u006,item_022,watch,netflix,965,2024-01-13T16:58:00+00:00,
e_057dd35c,u006,item_031,watch,spotify,183,2024-02-22T20:09:00+00:00,
e_e5feaab6,u006,item_023,skip,google,0,2024-02-13T19:44:00+00:00,
e_e63da771,u006,item_035,like,youtube,0,2024-02-12T21:54:00+00:00,
e_6c187610,u006,item_046,like,netflix,0,2024-03-10T01:39:00+00:00,
e_348bdd9e,u006,item_020,watch,google,918,2024-01-30T23:05:00+00:00,
e_61f87630,u006,item_023,watch,youtube,643,2024-02-26T05:44:00+00:00,
e_70c71cfe,u006,item_001,watch,google,797,2024-01-08T09:22:00+00:00,
e_3eed314a,u006,item_047,like,spotify,0,2024-03-08T13:36:00+00:00,
e_b7b98f29,u006,item_047,watch,spotify,813,2024-01-11T19:55:00+00:00,
e_3cc1c1ff,u006,item_032,listen,apple_music,1336,2024-01-19T07:29:00+00:00,
e_564959d9,u006,item_032,listen,google,1677,2024-03-26T00:57:00+00:00,
e_3b6b69d3,u006,item_036,skip,google,0,2024-03-27T17:10:00+00:00,
e_affe02b2,u006,item_032,watch,google,898,2024-03-16T09:40:00+00:00,
e_885ad61e,u006,item_032,listen,google,1019,2024-01-26T12:54:00+00:00,
